Item Number	Name	Summary	Inventory Enforce	Inventory Level	Inventory Minimum Level	Weight	Units	Image URL	Thumbnail URL	Variation #1	Tag	By-Line	Text	Feature #1	Feature #2	Feature #3	Feature #4	Feature #5	Feature #6	Feature #7	Feature #8	Feature #9	Feature #10	Feature #11	Feature #12	Specification #1	Specification #2	Specification #3	Specification #4	Specification #5	Specification #6	Specification #7	Specification #8	Specification #9	Specification #10	Specification #11	Specification #12	Keywords	UPC	ISBN	Related Item #1	Related Item #2	Related Item #3	Related Item #4	Related Item #5	Related Item #6	Delete	Price (Standard Pricing-USD)	Sale Price (Standard Pricing-USD)	Available (Standard Pricing-USD)	On Sale (Standard Pricing-USD)	Featured (Standard Pricing-USD)	Tax Free (Standard Pricing-USD)	Extra Shipping (Standard Pricing-USD)
AST2055	Swivel Tray for the Couch Cane	Allows you to upgrade your Couch Cane to an Assist-A-Tray.	F	0	0	0		/members/270651/uploaded/couchcanebasicuse_1.jpg				Allows you to upgrade your Couch Cane to an Assist-A-Tray.	The <b>Swivel Tray</b> is sold as an accessory to the Couch Cane (the two items together is the same as the assist-a-tray AST2050). <br><br> So, if you already have the Couch Cane, now you can add the swivel tray. <br><br> *The Couch Cane is not included. 	Allows you to upgrade your Couch Cane to an Assist-A-Tray.												Fits:;AST412 - Couch Cane.												swivel tray for the couch cane, couch cane swivel tray, swivel tray for couch cane, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Standing Aids;L;/site/270651/page/917854	Couch Cane;P;AST412					N	69.95	64.95	T	T	F	F	0
AST2090	Furniture Risers	For people who need assistance rising from their existing furniture.	F	0	0	0		/members/270651/uploaded/furniture_risers_on_couch.jpg				For people who need assistance rising from their existing furniture.	<b>Furniture Risers</b> are an alternative to a lift chair for people who need assistance rising from their existing furniture. Heavy duty plastic reinforced with ribbed construction. Wide base for stability. Deep depression securely holds furniture legs. Protective non-skid floor pads.  <br><br> Measures 4 1/2 inch diameter. Set of 8 includes four 3 inch high and four 4 inch high.	Protective non-skid pads protects furniture and floor.	For people who need assistance rising from their existing furniture. 	Heavy duty plastic reinforced with ribbed construction.										Set of 8 includes:;four 3 inch high and four 4 inch high.	Width of 4” Risers:;5” at base, 3.75” at top.	Width of 3” Risers:;4.5” at base, 3.75” at top.	Can accommodate furniture legs:;up to 2.5” in diameter.	Weight Capacity:;350lbs including person and furniture.								furniture risers, furniture riser, easy risers, furniture lift, chair lift,furniture risers,quilting,recliners,seating,bed risers,chair risers,disability,furniture,acid reflux, hiatal hernia,GERD,wheelchairs,MS,senior,elderly 			Freedom Grip Plus Bed Rail;P;CMT502	Etac inch Bath Board;P;P2B8160	Standing Aids;L;/site/270651/page/917854				N	49.99	39.95	T	T	F	F	0.00
AST301	Elasto-Gel Sinus Mask	Can be used for soothing moist heat therapy to increase blood flow or for cold therapy to reduce inflammation and swelling of sinus pressure and pain. 	F	0	0	0		/members/270651/uploaded/ast301-sinus-mask-1w.jpg				Use for cold therapy to reduce swelling, or moist heat therapy to stimulate blood flow to relief sinus pain and pressure.	The <b>Elasto-Gel Sinus Mask</b> can be used hot or cold to help relief pain from sinus headaches, sinus infections, post eye surgery, or to relief minor soft tissue injuries of the head, face and jaw. This gel mask may also be used as an eye shield and sleep aid to reduce excessive light for daytime sleeping. Warm the gel sinus mask in a microwavable for soothing moist heat therapy to stimulate blood circulation and relieve pain. Cool the sinus mask in the freezer or refrigerator for cold therapy to reduce swelling or numb an area. Universally sized for one size sinus mask fits most. The gel sinus mask, cover and strap are all latex free. The Elasto-Gel Sinus Mask will not leak if punctured.<br><br> Elasto-Gel is a specially formulated gel with exceptional properties for transferring heat. These gel packs are microwaveable for moist heat therapy and also freezable for cold therapy. The gel remains flexible and soft at temperatures as low as 20 degrees Fahrenheit. The 4 way stretch outside cover provides maximum conformity and can be easily removed for washing.  Do not get the product wet. The gel will absorb water and swell. 	Ideal for sinus pain relief.	Can be used as an eye shield for daytime sleeping.	Gel pack can be used for Hot or Cold therapy treatment.	Will not leak if punctured.	Remains flexible and soft at temperatures as low as 20 degrees.								Made in:;USA.	Universally sized:;One size fits most.											elasto-gel sinus mask, elastogel sinus mask, gel sinus mask, hot and cold sinus mask, moist heat therapy, sinus pain, sleep aid, eye shield, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			HappyLight 6000 Sunshine Supplement Light System;P;CVL395	Travel Core Pillow;P;CCP225	Elasto-Gel Therapy Wraps;L;http://www.caregiverproducts.com/site/270651/page/4403276				N	19.95	0.00	T	F	F	F	0.00
AST412	Chair &  Couch Cane	Designed to act as a standing aid from a couch or chair.	F	0	0	0		/members/270651/uploaded/couchcane2.jpg				Designed to act as a standing aid from a couch or chair.	The <b>Couch Cane</b> is designed to act as a standing aid from a couch, chair or recliner. This product has a wide grip, powder coat finish, and adjustable shaft. The base installs on either end of a full range of couch depths and styles. <br><br> Anti-skid pads to prevent furniture slipping and help protect floor surfaces. Wide grip handle adjusts from 29 to 32 in. Weight capacity 300 lbs. <br><br> Includes a free Couch Cane Organizer - a $19.95 value!<br> <br><br> <object width="356" height="295"><param name="movie" value="http://www.youtube.com/v/UXj2MjcxYAo&hl=en&fs=1&rel=0"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/UXj2MjcxYAo&hl=en&fs=1&rel=0" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="356" height="295"></embed></object> <br><br> Ships UPS Ground.	Acts as a standing aid from a couch, chair or recliner.	Ergonomic Safety Handle - Makes standing and sitting easy and safe.	Saddle Bag Pouch - Four pockets keep convenient items close by. 	Adaptable - Adjusts in length and height to fit either side of your favorite couch or chair. Works great with a lift chair.	Super Grip Rubber Pads - Ensure stability and protect floor from damage.								Handle adjusts from:;29 to 32 in. high.	Weight capacity:;300 lbs.	Fits Couch Feet Distance:;21” to 33”. 	Width of Handle:;15”.	Product Weight:;15 lbs.								transfer handle, transfer assist, couch cane, couch transfer, transfer, transfer aid, help get up from couch			Auto Handy Bar;P;CMT96314	Portable Telescoping Pivot Grip Grab Bar;P;CBC400M	Standing Aids;L;/site/270651/page/917854				N	129.95	109.95	T	T	F	F	0.00
AST413	Bed Cane	Makes movement in and out of a bed easy with its steady support.	F	0	0	0		/members/270651/uploaded/Bed_Cane_2.jpg				Free Bed Cane Organizer included!	The Bed Cane makes movement in and out of a bed easy with its steady support. The 19 x 23 inch wood base fits between the mattress and box springs. The <b>Bed Cane</b> allows you to use both hands to sit up on the side of the bed and then also offers a means to maintain your balance while rising to a standing position. <br><br> The reversible handle installs on either side of the bed and has a comfortable cushion grip.  The heavy gauge steel shaft, with a durable powder coat finish, adjusts from 19 to 22 in. high from base. Remove pin to collapse, store or transport. Fits twin, full, queen, and king size beds. 250 lb weight capacity. <br><br> Includes free Bed Cane Organizer - $19.95 value <br><br> Ships UPS Ground. Wide Handle Bed Cane is an Over-sized/overweight item - additional shipping charges may apply. <br><br> <object width="356" height="295"><param name="movie" value="http://www.youtube.com/v/4OeX6GdhhXk&hl=en&fs=1&"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/4OeX6GdhhXk&hl=en&fs=1&" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="356" height="295"></embed></object>	Makes movement in and out of a bed easy with its steady support.	Fits between the mattress and box springs.	Allows you to use both hands to sit up on the side of the bed.	Free Organizer included-4 pocket organizer prevents entrapment and provides storage of handy items.	Reversible and Adjustable - Fits on either side of bed and adjusts in height to fit your mattress.								Weight capacity:;350 lbs	Height adjusts from:;19 to 22 inches	Fits:;twin, full, queen, and king size beds.	Rail Width:;15”.	Wood base:;19 x 23 in., fits between the mattress and box springs.								bedcane, bed cane, bed assistance, bed help, standing up, getting out of bed, patient transfer, standing aids, standing aid, standing help, getting up, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric,  caregiver, care giving products, supplies, aids			Mattress Genie Adjustable Bed Wedge;P;CCP50	Standing Aids;L;/site/270651/page/917854	Wide Handle Couch Cane;P;AST412				N	99.99	89.95	T	T	F	F	0
AST415	Car Caddie	Helps getting in and out of a car.	F	0	0	0		/members/270651/uploaded/Car_caddie_2.jpg				Helps getting in and out of a car.	The <b>Car Caddie</b> offers a helping hand getting in or out of a car, van or truck.  <br><br> The Car Caddie is made of quality nylon construction that loops around your car window and adjusts in length to accommodate anyone. <br><br> Your loved one can pull on the comfortable cushion grip when they need assistance in or out of a vehicle.<br><br>	Made of durable quality nylon material. 	Adjusts to the needed length.	Comfortable cushion hand grip.																						car caddie, car caddy, car transfer, help getting in car, help getting out car, standing help, disabled mobility, handicap mobility, disabled car aids, elderly products, elderly care products, handicapped mobility, 			Car Transfer Assists;L;/site/270651/page/918679						N	15.95	0.00	T	F	F	F	0.00
AST417	Bed Caddie	Provides help sitting up in bed.	F	0	0	0		/members/270651/uploaded/Bed_Caddie.jpg				Help sitting up in bed.	The <b>Bed Caddie</b> enables people with general weakness or decreased back strength to pull themselves up to a sitting position in bed using the 3 tiered ladder system. <br><br> This unique device has cushioned grip handles and is made of durable nylon.  The Bed Caddie's ergonomic buckle design allows for easy attachment to the bed and accommodates most metal framed and wood framed beds.	Enables people with general weakness or decreased back strength to pull themselves up to a sitting position in bed.	3 Hand Grips – Ladder-like design makes sitting up easy.	Versatile – Attaches to any bed frame.	Ergonomic – Cushioned, no-slip rubber contour grip.	Hassle Free Assembly – Installs and removes in seconds.								Weight Capacity:;300 lbs.	Strap Length:;Adjustable 48” – 84”	Grip Width:;5" wide	Grip Diameter:;1"	Space between each grip:;12 inches								Bed Caddie, bed caddy, bed ladder, help get out of bed, bed pull up ladder, bed transfer, handicapped mobility, disabled mobility, getting out of bed, caregiver products, care giving aids, getting up, bed assistance, bed cane, bed help, bedridden, bed bound			Couch Cane;P;AST412	Akton Polymer Mattress Overlays;P;CAC63	Standing Aids;L;/site/270651/page/917854				N	22.95	0.00	T	F	F	F	0.00
AST420	Recliner Lever Extender	Extension handle for recliners.	F	0	0	0		/members/270651/uploaded/Lever_Extender-compressed.jpg				Extends your recliner lever.	Extension lever handle for recliners places the handle within easy reach. The <b>Recliner Lever Extender</b> provides easy adjustment for all types of reclining chairs. A Four bolt attachment ensures secure fit to the recliner lever. Padded lever design protects chair handle. <br><br> Made of heavy duty steel.	 Adds 6 inches to your reach so that you don't have to strain to reach or to pull the lever back.	Handle is 6½" wide, giving you more surface to grasp.	A 4 bolt attachment ensures a secure fit to most recliner handles.										Weighs:;2 lbs.	Dimensions:;9" L x 7" W.											lever extender, recliner lever extender, extension for recliners, lever handle, arthritis aids, recliner lever, lever extension, recliner handle, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, care giving			Couch & Chair Cane;P;AST412	Furniture Risers;P;AST2090	Caregiver Items Around the House;L;/site/270651/page/3898676				N	22.95	0.00	T	F	F	F	0.00
AST421	Ultimate Bed Rail and Tray - Discontinued	Helps standing from a bed. Combination transfer handle and tray.	T	0	0	0		/members/371928/uploaded/Ultimate-Tray_Inside_w_Woman_w_Remote.JPG				Helps maintain balance when standing!	<b>Ultimate Bed Rail and Tray</b> assists user in maintaining balance when rising, standing or lowering to sitting position. Base fits between mattress and box springs. Combination transfer handle and tray. Dual position tray can be pivoted toward and away from bed. Bed rail pivots up and down. Adjustable height from 18 to 20 inches. Ultimate Bed Rail and Tray is reversible to be used on either side of the bed. No assembly required. Powder coated quality steel handle with foam grip. 250 pound weight limit capacity.<br><br> Ships UPS Ground.																									wide handle Bed Cane, bed cane, transfer handle, bed mobility, bed transfer, mobility aids, transfer aids, transfer assist, handicap transfer, handicap mobility, handicapped mobility, disability equipment, disabled mobility, arthritis aids, disability aids, handicap aids			Standing Aids;L;/site/270651/page/917854	Anti Snore Pillow;P;CCP09100	Mattress Genie Adjustable Bed Wedge;P;CCP50				N	119.95	0.00	T	F	F	F	0.00
AST422	Bed Rail Advantage	Offers a helping hand to a sitting position in bed.	F	0	0	0		/members/270651/uploaded/Bed_rail_advantage.gif				Free Bed Rail Organizer included!	The <b>Bed Rail Advantage</b> offers a helping hand to a sitting position in bed. The rail is 17" W, offering ample surface space to grab onto. You can store small items in the included Bed Rail organizer so that they are within reach. If you don't need it all the time, the Bed Rail Advantage folds down flat for easy storage in a closet or under the bed. <br><br> Quality steel construction - heavy duty steel with powder coat providing long lasting quality. Portable handle folds down for storage and portability.  Safety strap secures base to mattress. Foam Grip provides comfortable cushion grip; closed cell foam is easy to sanitize. <br><br> The Bed Rail Advantage requires no assembly. Simply slide the base between the box spring and mattress of any sized bed and secure the safety strap to the other side of the bed frame. The bed rail can be placed on either the left or right side of the bed and will accommodate deeper mattresses. <br><br> <object width="425" height="344"><param name="movie" value="http://www.youtube.com/v/igGF42LwjQQ&hl=en&fs=1&rel=0"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/igGF42LwjQQ&hl=en&fs=1&rel=0" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="425" height="344"></embed></object> <br><br> Ships via UPS Ground.	Comes with a free, bedside organizer.	The Bed Rail Advantage provides extra support so that you can get out of bed safely.	Fits on either side of the bed.	Foam Grip provides comfortable grip.	Quality steel construction.	No assembly required.							Base Dimensions:;21" D x 17" W.	Rail Dimensions:;23" H x 17" W 	Weight Capacity:;400 lbs	Weighs:;8 lbs									Bed Rail Advantage,bed rail,bed transfer,transfer aid,transfer assist,bed cane, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, bedridden, care giving 			Mattress Genie Adjustable Bed Wedge;P;CCP50	Anti Snore Pillow;P;CCP09100	Mounting Instructions;L;/members/270651/uploaded/InstructionsWarrantyBedRailAdvantage[1].pdf	Standing Aids;L;/site/270651/page/917854			N	79.99	64.95	T	T	F	F	0.00
AST4333	EZ Adjust Bed Rail	Adjustable length allows for use as both a bed rail or hand rail.	F	0	0	0		/members/270651/uploaded/EZ_Adjust_Bedrail_4333.jpg				Adjustable length allows for use as both a bed rail or hand rail.	Four different positions! Adjustable length allows for use as both a bed rail or hand rail. Adjusts from 26 to 42 inches wide. <b>EZ Adjust Bed Rail</b> folds down to side of bed and fits any home or hospital bed. Adapts to appropriate height for varying mattress thicknesses and is reversible. Safety strap secures bed rail to bed frame. Weight capacity 400 lbs. <br><br> Bed Rail/Hand Rail-Adjustable length allows for use as both a bed rail to prevent falling out of bed or as a hand rail to assist in getting out of bed. <br><br> <object width="356" height="295"><param name="movie" value="http://www.youtube.com/v/FYbPkK7ECGc&hl=en&fs=1&rel=0"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/FYbPkK7ECGc&hl=en&fs=1&rel=0" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="356" height="295"></embed></object> <br><br> Item ships via UPS Ground.	Adjustable-Bed rail easily adjusts from 26 in. to 34 in. to 42 in. after it has been placed on the bed.	Collapsible-Rail folds down to side of bed to allow user to get out of bed or provide space for making bed.	Reversible-Can be placed on either side of the bed.	Dual Safety Strap-Secures bed rail to bed frame.									Width of Rail:;Locks in place at 26 in., 34 in. & 42 in. after installed on bed.	Height of Rail:;23 inches high from the base of mattress.	Gap Between Rails:;3 inches.	Made for Bed Type:;Attaches to any home or hospital bed with included Safety Strap.	Weight of Product:;14 lbs.	Weight Capacity:;400 lbs.	Package Dimensions:;28 x 21 x 1.5 inches.	Assembly:;Installs in minutes with 4 bolts and Allen Wrench (Included).					EZ Adjust bed rail, adjustable bed rail, bed safety, fall prevention, adult bed rail, hospital bed rail, adjustable bed rail, for in home care, stroke, elderly, Parkinson's, disabled, bedridden, handicapped, geriatric, caregiver aids, supplies, products			Knee Rest Pillow;P;CHP505	CPAP Multi Mask Sleep Aid;P;CCP14101	Standing Aids;L;/site/270651/page/917854				N	139.99	113.95	T	T	F	F	0.00
AST5	Elasto-Gel Lumbar Therapy Wrap	Soothing pain relief for the lower back or hips.	F	0	0	0		/members/270651/uploaded/Elastogel-lumbar-1.jpg		N=Choose size:;C=Small/Medium[I=*22];C=Large/Extra Large[P=9.00,I=*23]		Soothing pain relief for the lower back or hips.	The <b>Elasto-Gel Lumbar Wrap</b> contours to the wearer, providing penetrating heat or soothing cold compress therapy directly to the lower back or hips. When heated, the gel wrap provides moist therapeutic heat and when used cold, it provides soothing cold without causing trauma to the skin or nerves. In addition, when used cold, the wrap remains soft and flexible even at -20 degrees F. The Lumbar Wrap will not dry out, become hard or change form and is re-usable. <br><br> The Lumbar Wraps are hot or cold therapy packs that are ideal for physical therapy, sports medicine, home care, and other applications requiring hot and cold treatments. The unique shape conforms to the contours of the lower back and offers relief of minor muscular and joint aches and pains. Once the wrap is secured, individuals can move about freely. The wrap can be worn under clothing and stays in place during use with the velcro straps. These remarkable therapy packs are guaranteed to be 100 percent leak proof even if punctured. Two sizes are available to ensure the best fit. 	Can be used for both hot and cold treatment.	Contours to the shape of the wearer.	Specially selected 4 way stretch outer cover.	Tough flexible gel.	Retains temperatures for 20 – 40 minutes.	Made in USA.							Small/Medium: ;fits waist sizes 24 – 36 inches.	Large/Extra Large:;fits waists sizes 36 – 52 inches.											low back pain relief, home thermo therapy, lumbar therapy wrap, hot or cold pack, elastogel, elasto-gel, hip therapy, hip pain relief, contour therapy wraps, lower back aids, soothing heat therapy, cold compress, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Lightweight Plastic Transfer Board;P;CMI220	Deluxe Sock Aid;P;ASN215	Elasto-Gel Therapy Wraps;L;/site/270651/page/4403276				N	49.95	0.00	T	F	F	F	0.00
AST510	Elasto-Gel Cervical  Collar	Alleviates pain and discomfort of the cervical neck region.	F	0	0	0		/members/270651/uploaded/Elastogel-cervical-1.jpg				Alleviates pain and discomfort of the cervical neck region.	The <b>Elasto-Gel Cervical Neck Collar Wrap</b> provides outstanding neck care by utilizing a tough, flexible high glycerine gel. This patented gel is covered with a four-way stretch material that allows maximum conformity, hot and cold transfer and comfort. The collar fastens in the front for easy use, and the velcro strap allows you to easily adjust the size to fit according to your comfort level. The Elasto-Gel neck wrap is highly versatile and can go from being a heat pack that relieves stiffness and soreness, to a pain relieving cold pack in just minutes. <br><br> For moist heat treatment, heat the neck collar in the microwave or a conventional oven. Simply heat the pack according to the included directions. When a warm wrap is applied, heat quickly penetrates muscles and joints. Elasto-Gel Cervical Collar continues to provide heat for an estimated 20 to 30 minutes before reheating becomes necessary. For cold therapy, place the wrap in freezer. The wrap remains soft and flexible at temperatures as low as -20 degrees F. Usually the cold wrap will numb the treated area within 5 minutes without the harsh shock and pain that is sometimes experienced with ice or ice water treatments. The wraps will remain cold for approximately 20 to 40 minutes.	Microwaveable.	Apply gel pack for Hot or Cold therapy treatment.	Will not leak if punctured.	Will not dry out.	Easy to apply.	Conforms to cervical spine curves.	Made in USA.						Measurements:;20 inches long, 10 inches wide center, 4 inches at front closure.	Straps with Velcro front closure: ;2 x 6 inches.	Construction:;Indestructible gel, cover and strap are all latex-free .										contoured neck wrap, cervical neck collar, therapy collar for neck, neck pain relief, elastogel, elasto-gel, heat pack, ice pack, therapy wrap, hot and cold neck treatment, rehabilitation aids, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			The Bed Desk;P;CLBP1000	Elasto-Gel Therapy Wraps;L;/site/270651/page/4403276	Back Spa Back Scrubber;P;AMC223				N	33.95	0.00	T	F	F	F	0.00
ATC30789	Hand Held Square Self Inspection Mirror	Ideal for self examination of hard to see parts of the body.	F	0	0	0		/members/270651/uploaded/Square-Mirror.jpg				Ideal for self examination of hard to see parts of the body.	The <b>Hand Held Square Self Inspection Mirror</b> has a long 12inch handle that bends and flexes easily. This feature makes them ideal for self examination of hard to see parts of the body. <br><br> The self inspection mirrors also have adjustable hand loops that provide a firm grip. Hand Held Self Inspection Mirrors are easy to use and versatile. <br><br> 5-1/2 inch square double-sided break resistant mirror comes with an adjustable hand loop on a 12 inch flexible shaft. Overall length is 23-1/2".	Handles bend and flex to most any angle easily.	Adjustable hand loop provides a firm grip.	Ideal for self examination of hard to see parts of the body.										Mirror Size:;5-1/2 inch square.	Handle:;12 inch flexible shaft.											hand held inspection mirror, square self inspection mirror, square hand held self inspection mirror, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, bedridden, caregiver aids, products, supplies, care giving			Caregiver Grooming and Personal Hygiene Aids;L;/site/270651/page/937919	Quad Care Mirror;P;ATC30801	Flex A Mirror;P;ATC30800				N	29.95	0.00	T	F	F	F	0.00
ATC30800	Flex-A-Mirror	Inspection mirror designed for use by people with physical disabilities.	F	0	0	0		/members/270651/uploaded/flex-mirror.jpg				Inspection mirror designed for use by people with physical disabilities.	The <b>Flex-A-Mirror</b> is an inspection mirror designed for use by people with physical disabilities. The unit consists of a nearly unbreakable, lightweight acrylic, oval shaped mirror on a flexible shaft; the shaft is equipped with a handle and an adjustable hand loop. <br><br> The unit is 19 inches long overall; the mirror is 4 x 6 inches, and the shaft is 9 inches long.	Allows people with physical disabilities to examine difficult to see body parts.												Overall length:;19 inches.	Flexible shaft:;9 inches.	Mirror:;4 x 6 inches.										flex a mirror, mirror with flexible handle, long flexible handle mirror, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, bedridden, caregiver aids, products, supplies, care giving			Quad Care Mirror;P;ATC30801	Square Inspection Mirror;P;ATC30789	Caregiver Grooming and Personal Hygiene Aids;L;/site/270651/page/937919				N	28.95	0.00	T	F	F	F	0.00
ATC30801	Quad-Care Mirror	Designed for use by people who are quadriplegic or who have other lower extremity disabilities.	F	0	0	0		/members/270651/uploaded/quadcare.jpg				Designed for use by people who are quadriplegic or who have other lower extremity disabilities.	The <b>Quad Care Mirror</b> is an inspection mirror designed for use by people who are quadriplegic or who have other lower extremity disabilities. Designed to widen the field of view and allow individuals to examine many parts of their body or for self catheterization. Easy to use and versatile. Nearly unbreakable, lightweight acrylic mirror on a flexible shaft. Select from three styles to suit your individual needs. <br><br> 4 X 6 in oval double-sided break-resistant mirror has an adjustable hand loop. Flexible shaft is 12 in long, overall length is 23 in. Additional finger loop on the shaft aids in holding and manipulating the mirror. The two handles make this mirror easy to bend or twist to the desired position. Handle measures 5 in long and has an adjustable-length hand loop. 	Designed to widen the field of view and allow individuals to examine many parts of their body or for self catheterization.	Adjustable-length hand loop.											Mirror:;4 x 6 inches.	Flexible shaft:;12 inches long.	Overall length:;23 inches long.										quad care mirror, flexible long handle mirror, long handle flex mirror, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, bedridden, caregiver aids, products, supplies, care giving			Square Inspection Mirror;P;ATC30789	Caregiver Grooming and Personal Hygiene Aids;L;/site/270651/page/937919	Flex-A-Mirror;P;ATC30800				N	30.95	0.00	T	F	F	F	0.00
ATC30967	Electric Razor Strap	Adjustable to fit the most popular electric razors.	F	0	0	0		/members/371928/uploaded/ATC30967electric_razor_strap.jpg				Adjustable to fit the most popular electric razors.	Straps are adjustable to fit the most popular electric razors so that they conform easily and comfortably over the user’s hand. Provides a secure grip of the razor for shaving. <b>Electric Razor Strap</b> weighs about ½ lb. (226g) and measures ½" x 4" x 6" (1.3 x 10 x 6cm) <br><br> Non returnable if packaging is opened	Conforms easily and comfortably over the user’s hand.																								electric razor strap, razor holder, razor cuff, ADL, shaky hands, Parkinson’s, hand tremor, tremors			Bathroom Utensil Holders;L;/site/270651/page/911744	Hands Free Hair Dryer Stand;P;APS223	Dental Floss Holder;P;CMI201				N	32.95	0.00	T	F	F	F	0.00
ATC30968	Weighted Cuff for Disposable Razor	Disposable Razor holder.	F	0	0	0		/members/371928/uploaded/ATC30968razorcuff.jpg				Disposable Razor holder.	Pocket holds a disposable razor. 1/2 inch wide strap fits comfortably over the hand. Thumb loop aids in adjusting strap. <b>Weighted Cuff for Disposable Razor</b> holder has hidden weights help to steady shaky hand. Hook and loop closure. <br><br> Weighs about 1 1/2 pounds. <br><br> Non returnable if packaging is opened.	Holder has hidden weights help to steady shaky hand.												Weighs:;1 1/2 pounds.												Weighted Cuff for Disposable Razor, weighted razor cuff, razor holder, weighted holder, parkinsons, shaky hands, weighted ADL, parkinson's, elderly, geriatric, caregiver, care giving, bedridden			Bathroom Utensil Holders;L;/site/270651/page/911744	Weighted No Tip Drink Holder;P;CFP131	Freedom Divided Plate;P;CFP171				N	26.95	0.00	T	F	F	F	0.00
ATC35015	Drinking Straw Holder	Clips to the lip of glasses and cups.	F	0	0	0		/members/270651/uploaded/Straw_Holder_ATC_35015.jpg				Clips to the lip of glasses and cups.	The <b>Drinking Straw Holder</b> clips to the lip of glasses and cups.  The straw angle can be adjusted by using the different holes.  Accepts all straw sizes.  Package consists of the Stainless steel spring clamp and holder.	Clips to the lip of glasses and cups.	Eliminates the need to hold the straw. 	Stainless steel.	Will hold small or large diameter straws. 									Material:;stainless steel.												drinking straw holder, straw holder, drinking aids, adaptive dining aids, caregiver aids, caregiving aids, adaptive drinking aids, holder for drinking straws. hold straw			Freedom Drink Holder;P;CFP131	Freedom Wheelchair Drink Holder;P;CFP181	Cup, Mugs, and Straws;L;/site/270651/page/911658				N	14.95	0.00	T	F	F	F	0.00
ATS900	Freedom Wand - personal toileting aid	A self-wipe, sanitary, easy to use, multipurpose, portable, personal toilet tissue aid.	F	0	0	0		/members/270651/uploaded/freedomwand2.jpg				A self-wipe, sanitary, easy to use, multipurpose, portable, personal toilet tissue aid.	The <b>Freedom Wand</b> is a self-wipe, sanitary, easy to use, multipurpose, portable, personal toilet tissue aid. It's specifically designed for personal cleaning and hygiene for anyone with limited mobility. <br><br> The Freedom Wand™ comes in three pieces the handle, the extension and the head. Use the Freedom Wand™ with the handle and head for a total of 14 inches in length or add the extension for 21 inches. Because it's made from a polypropylene material, the freedom wand is very durable and easy to clean. <br><br> <b>The Head:</b> <br><br> The head is 9 inches long and has a slight curve to it to allow for proper reach. The head also has four "fingers" that extend out of the wand with the slide of a button. As they extend, they open to hold a shaver, sponge, ointment pad, tissue wad or other items. <br><br> When sliding the button back, the fingers go back into the wand, securing it in place and giving a tight grip, strength and a smooth end. To release an item, just push and slide the button back. It is that easy! The rinse hold in the head helps aid with cleaning in case any soil should get in the wand. <br><br> <b>The Extension:</b> <br><br> The extension is a 6½ inch piece. When combined with the head and the handle, the wand becomes 21 inches long. If a shorter wand is desired, the head and the handle can be put together without the extension for a length of 14 inches. Both the extension and the handle have quick and easy release buttons. <br><br> <b>The Handle:</b> <br><br> The handle is approximately 8 inches long. It is contoured for ease in holding and has a soft secure grip to eliminate slipping. It also has a loop on the end so that you can hang it in a convenient spot. <br><br>  Non returnable if packaging is opened.	Holds a shaver, sponge, ointment pad, toilet tissue or other items.	Easy to use, multipurpose, portable, personal toileting aid.											Length:;up to 21 inches.												freedom wand, freedom wand toileting aid, personal toileting aid, portable toilet aid, help wiping butt, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, bedridden, caregiver aids, products, supplies, care giving			Dressing Aids;L;/site/270651/page/911759	Freedom Wand Extension;P;ATS900E	Toileting Aids;L;/site/270651/page/911758				N	59.95	49.95	T	T	F	F	0.00
